NPxG,Assists,PKAttempts,PlayerName,Starts,PlayerPos,xA,PlayerAge,xG,MatchesPlayed,Goals,Team,RedCards,Minutes,PlayerNat,YellowCards,PKScored
0.0,2,0,Juan Bernat,6,"DF,FW",1.5,26,0.0,6,0,Paris Saint-Germain,1,525,ESP,1,0
0.1,0,0,Marquinhos,6,DF,0.2,25,0.1,6,0,Paris Saint-Germain,0,520,BRA,0,0
4.1,0,0,Mauro Icardi,6,FW,0.1,26,4.1,6,5,Paris Saint-Germain,1,401,ARG,1,0
0.0,0,0,Marco Verratti,5,MF,1.5,26,0.0,6,0,Paris Saint-Germain,2,465,ITA,2,0
0.0,0,0,Presnel Kimpembe,5,DF,0.0,23,0.0,5,0,Paris Saint-Germain,0,450,FRA,0,0
0.0,0,0,Keylor Navas,5,GK,0.0,32,0.0,5,0,Paris Saint-Germain,0,450,CRC,0,0
0.1,0,0,Thiago Silva,5,DF,0.0,34,0.1,5,0,Paris Saint-Germain,1,450,BRA,1,0
2.0,3,0,Ángel Di María,5,"FW,MF",2.3,31,2.0,5,2,Paris Saint-Germain,2,428,ARG,2,0
0.8,0,0,Thomas Meunier,4,DF,0.4,27,0.8,4,1,Paris Saint-Germain,2,360,BEL,2,0
0.1,1,0,Idrissa Gana Gueye,4,MF,0.2,29,0.1,4,0,Paris Saint-Germain,0,315,SEN,0,0
4.8,3,0,Kylian Mbappé,3,FW,1.8,20,4.8,5,5,Paris Saint-Germain,0,330,FRA,0,0
0.7,1,0,Pablo Sarabia,3,MF,1.6,27,0.7,5,2,Paris Saint-Germain,0,265,ESP,0,0
0.7,2,0,Neymar,1,"FW,MF",0.9,27,0.7,2,1,Paris Saint-Germain,0,135,BRA,0,0
0.0,0,0,Leandro Paredes,1,MF,0.0,25,0.0,2,0,Paris Saint-Germain,0,115,ARG,0,0
0.0,0,0,Abdou Diallo,1,DF,0.0,23,0.0,3,0,Paris Saint-Germain,0,109,FRA,0,0
0.1,0,0,Eric Maxim Choupo-Moting,1,FW,0.7,30,0.1,3,0,Paris Saint-Germain,1,101,CMR,1,0
0.0,0,0,Ander Herrera,1,MF,0.0,29,0.0,3,0,Paris Saint-Germain,1,99,ESP,1,0
0.0,0,0,Colin Dagba,1,DF,0.1,20,0.0,1,0,Paris Saint-Germain,0,90,FRA,0,0
0.1,0,0,Layvin Kurzawa,1,DF,0.0,26,0.1,1,0,Paris Saint-Germain,1,90,FRA,1,0
0.0,0,0,Sergio Rico,1,GK,0.0,25,0.0,1,0,Paris Saint-Germain,0,90,ESP,0,0
0.0,0,0,Nianzou Kouassi,1,DF,0.0,17,0.0,1,0,Paris Saint-Germain,0,75,FRA,0,0
